airport_ref,airport_ident,type_of_airport,airport_name,latitude,longitude,elevation_ft,state,municipality,scheduled_service,unique_id,id,length_ft,width_ft,surface,lighted,closed,le_ident,le_displaced_threshold_ft,he_ident,he_displaced_threshold_ft
8328,1IA5,heliport,Story County Hospital Heliport,42.017494,-93.453026,995.0,IA,Nevada,no,2035,265453,60.0,60.0,ASPH,0,0,H1,,,
8330,1IA7,heliport,University of Iowa Hospitals & Clinic Heliport,41.66,-91.5477,840.0,IA,Iowa City,no,2037,265454,48.0,48.0,CONC-G,0,0,H1,,,
8330,1IA7,heliport,University of Iowa Hospitals & Clinic Heliport,41.66,-91.5477,840.0,IA,Iowa City,no,2037,265455,30.0,60.0,CONC,0,0,H2,,,
8331,1IA9,closed,Newbrough Airport,43.0677,-93.9022,1192.0,IA,Britt,no,2038,330015,3200.0,60.0,Turf,0,0,9,,27,
8332,1ID2,heliport,Horseshoe Bend Heliport,43.9144,-116.197,2300.0,ID,Horseshoe Bend,no,2039,265456,30.0,30.0,CONC,1,0,H1,,,
8333,1ID3,small_airport,Beaux Ranch Field,48.167965,-116.725334,2079.0,ID,Sandpoint,no,2040,250088,1800.0,45.0,TURF-DIRT-P,0,0,03,,21,
8334,1ID4,small_airport,Red Baron Airpark,43.310555,-115.9025,3259.0,ID,Oasis,no,2041,253692,2940.0,50.0,ASPH-G,0,0,10,,28,
8335,1ID5,heliport,St Luke's Wood River Medical Center Heliport,43.648537,-114.35008,5737.0,ID,Ketchum,no,2042,265457,40.0,40.0,CONC,1,0,H1,,,
8336,1ID6,heliport,Sligars Landing Heliport,42.5858,-114.357,3800.0,ID,Kimberly,no,2043,265458,50.0,32.0,CONC,0,0,H1,,,
8337,1ID7,small_airport,Fairbanks Airfield,42.58791,-114.33071,3830.0,ID,Eden,no,2044,250956,2300.0,80.0,ASPH-GRVL,0,0,07,,25,
8338,1ID8,heliport,North Canyon Medical Center Heliport,42.921677,-114.70945,3579.0,ID,Gooding,no,2045,265459,30.0,30.0,CONC,1,0,H1,,,
8339,1ID9,small_airport,Skyline STOLport,42.7806,-112.171,6150.0,ID,Inkom,no,2046,248400,400.0,20.0,TURF,0,0,01,,19,
8340,1II0,small_airport,Webster Airport,39.5767,-85.5878,910.0,IN,Homer,no,2047,256980,1700.0,100.0,TURF,0,0,E,,W,
8341,1II2,closed,Adams Airport,40.61624,-84.82551,850.0,IN,Geneva,no,2048,248112,2000.0,150.0,TURF,0,0,E,,W,
8342,1II3,small_airport,Davis Airport,38.957916,-87.3946,500.0,IN,Carlisle,no,2049,246511,1600.0,150.0,TURF,0,0,18,,36,
8343,1II4,small_airport,Amy Airport,38.1251,-86.1622,665.0,IN,Corydon,no,2050,254885,1050.0,60.0,TURF,0,0,09,,27,
8344,1II5,small_airport,Van De Mark Airport,41.246643,-86.50262,730.0,IN,Culver,no,2051,256998,1900.0,60.0,TURF,0,0,01,,19,
8345,1II6,heliport,St Mary's Medical Center Heliport,37.965,-87.5042,386.0,IN,Evansville,no,2052,265460,50.0,50.0,CONC,1,0,H1,,,
8346,1II7,heliport,Parkview Memorial Hospital Heliport,41.0964,-85.1102,817.0,IN,Fort Wayne,no,2053,265461,50.0,40.0,CONC,0,0,H1,,,
8348,1IL0,small_airport,Barnstorm Field,40.775,-89.0011,731.0,IL,El Paso,no,2055,248964,2650.0,70.0,TURF,0,0,09,450.0,27,
8349,1IL1,small_airport,Horsefeathers Ranch Airport,39.241596,-89.42657,653.0,IL,Irving,no,2056,250227,2100.0,102.0,TURF,0,0,01,,19,400.0
8350,1IL2,closed,Hobby Hideaway RLA Airport,40.347,-89.4707,660.0,IL,Delavan,no,2057,251405,1320.0,70.0,TURF,0,0,N,,S,
8351,1IL3,heliport,Alton Memorial Hospital Heliport,38.9022,-90.1614,525.0,IL,Alton,no,2058,265462,50.0,50.0,CONC-G,0,0,H1,,,
8352,1IL4,small_airport,Flight Park Inc Airport,38.4187,-90.1312,631.0,IL,Millstadt,no,2059,256804,2600.0,100.0,TURF-G,0,0,06,,24,
350768,1IL5,heliport,Highland Heliport,38.76032,-89.674324,560.0,IL,Highland,no,2060,350769,40.0,40.0,CON,1,0,H1,,,
8353,1IL6,closed,Bally's Strip,41.86896,-89.44581,786.0,IL,Dixon,no,2061,246590,1400.0,86.0,TURF,0,0,N,,S,
8354,1IL7,heliport,Gearhart-Hollow Heliport,41.8648,-89.5029,800.0,IL,Dixon,no,2062,265463,50.0,50.0,TURF,0,0,H1,,,
8355,1IL8,small_airport,Loy Airport,40.932,-87.5959,665.0,IL,Donovan,no,2063,249515,2540.0,100.0,TURF,0,0,09,,27,
8356,1IL9,small_airport,Holland Field,40.3006,-89.1244,715.0,IL,Mc Lean,no,2064,257817,2200.0,70.0,TURF,0,0,11,,29,
8356,1IL9,small_airport,Holland Field,40.3006,-89.1244,715.0,IL,Mc Lean,no,2064,257818,3000.0,70.0,TURF,0,0,18,,36,
8357,1IN0,small_airport,Belknap-Icarus Acres Airport,40.1334,-85.2305,1040.0,IN,Parker City,no,2065,251449,1240.0,75.0,TURF,0,0,01,320.0,19,
8357,1IN0,small_airport,Belknap-Icarus Acres Airport,40.1334,-85.2305,1040.0,IN,Parker City,no,2065,251450,1900.0,100.0,TURF,0,0,09,480.0,27,
8358,1IN1,small_airport,Shearer STOLport,39.4884,-86.6531,750.0,IN,Lewisville,no,2066,246360,700.0,30.0,TURF,0,0,18,,36,
8359,1IN2,heliport,Meharry Ag Service Heliport,40.2039,-87.0558,760.0,IN,Wingate,no,2067,265464,16.0,16.0,CONC-F,0,0,H1,,,
8360,1IN3,small_airport,Confer's Place Airport,41.098137,-85.242004,865.0,IN,Arcola,no,2068,246379,2000.0,70.0,TURF,0,0,09,,27,
8361,1IN4,small_airport,Robinson Airpark,38.143383,-85.98514,775.0,IN,Elizabeth,no,2069,250799,2000.0,30.0,TURF-G,0,0,09,,27,
8362,1IN5,small_airport,Bottoms Brothers Airport,38.2848,-87.382,545.0,IN,Somerville,no,2070,251484,2200.0,100.0,TURF,0,0,18,,36,
8363,1IN6,small_airport,Cottingham Airport,40.4017,-87.2203,685.0,IN,Pine Village,no,2071,252446,1200.0,66.0,TURF,0,0,09,,27,
8363,1IN6,small_airport,Cottingham Airport,40.4017,-87.2203,685.0,IN,Pine Village,no,2071,252447,1300.0,66.0,TURF,0,0,18,,36,
8364,1IN7,seaplane_base,Lake Wawasee Seaplane Base,41.4036,-85.7061,859.0,IN,Syracuse,no,2072,248946,8000.0,2500.0,WATER,0,0,13W,,31W,
345502,1IN8,heliport,Adderly's Pad Heliport,41.107243,-85.218056,847.0,KS,Fort Wayne,no,2073,345503,82.0,64.0,CON,0,0,H1,,,
349866,1IN9,small_airport,Lee Farms Airport,40.594917,-85.42448,856.0,IN,Marion,no,2074,349869,2423.0,75.0,Turf,0,0,9,,27,
8366,1IS2,small_airport,Triple Creek Airport,39.8964,-88.5223,666.0,IL,Bement,no,2076,256426,2375.0,70.0,TURF,0,0,N,,S,
8367,1IS3,small_airport,Cribbet Airport,39.69556,-89.05953,620.0,IL,Blue Mound,no,2077,257885,2280.0,80.0,TURF,1,0,09,,27,
8368,1IS4,small_airport,Swan Valley Farm Airport,42.134785,-89.82421,916.0,IL,Lanark,no,2078,247483,2000.0,70.0,TURF,0,0,09,,27,
8369,1IS5,small_airport,Walder's Farm Airport,41.6531,-89.0015,900.0,IL,Paw Paw,no,2079,247462,1600.0,70.0,TURF,0,0,13,,31,
8370,1IS7,heliport,Ingersoll Heliport,42.2995,-89.0693,745.0,IL,Rockford,no,2080,265465,36.0,36.0,CONC,0,0,H1,,,
8371,1IS8,heliport,Sword's Heliport,41.8625,-89.2212,799.0,IL,Ashton,no,2081,265466,50.0,50.0,GRASS / SOD,0,0,H1,,,
8372,1J9,small_airport,Fort Walton Beach Airport,30.4063,-86.8291,22.0,FL,Navarre,no,2082,251956,2100.0,65.0,TURF-P,0,0,18,,36,
8374,1JY2,small_airport,Mahogany Mtn. Airport,43.0671,-121.053,4620.0,OR,Silver Lake,no,2084,251836,2600.0,100.0,DIRT,0,0,16,,34,
8376,1JY4,heliport,New Jersey State Police Troop C Headquarters Heliport,40.201378,-74.648834,81.0,NJ,Hamilton Township,no,2086,269678,55.0,55.0,CONC,0,0,H1,,,
8377,1JY5,closed,Morey's Heliport,38.98592,-74.81031,12.0,NJ,Wildwood,no,2087,269679,35.0,35.0,WOOD,0,0,H1,,,
8378,1K1,small_airport,Lloyd Stearman Field,37.7779,-97.1135,1364.0,KS,Benton,no,2088,251622,4600.0,60.0,ASPH-G,1,0,17,250.0,35,
8380,1K5,small_airport,Waynoka Municipal Airport,36.5667,-98.8523,1543.0,OK,Waynoka,no,2090,250947,2507.0,50.0,ASPH-G,1,0,17,,35,
8381,1K6,small_airport,Ellinwood Municipal Airport,38.3733,-98.5951,1797.0,KS,Ellinwood,no,2091,248844,2150.0,150.0,TURF-G,0,0,08,,26,
8381,1K6,small_airport,Ellinwood Municipal Airport,38.3733,-98.5951,1797.0,KS,Ellinwood,no,2091,248845,2550.0,100.0,TURF-GRVL-G,0,0,17,,35,
8382,1K8,small_airport,South Grand Lake Regional Airport,36.5417,-95.0211,775.0,OK,Ketchum,no,2092,254376,4744.0,60.0,ASPH-G,0,0,18,447.0,36,437.0
8383,1KC,small_airport,Kalakaket Creek AS Airport,64.416626,-156.82039,1598.0,AK,Kalakaket Creek,no,2093,250408,4000.0,140.0,GRVL,0,0,09,,27,
8385,1KS1,small_airport,Cochran Airport,38.4589,-95.22653,1005.0,KS,Richmond,no,2095,251356,2000.0,80.0,TURF,1,0,17,,35,
8386,1KS2,small_airport,Risky Airport,39.314,-95.0716,1133.0,KS,Easton,no,2096,246796,1500.0,75.0,TURF,0,0,18,,36,
8387,1KS3,small_airport,Leo's Place Airport,39.303993,-96.75943,1350.0,KS,Riley,no,2097,249032,1000.0,30.0,TURF,0,0,04,,22,
8387,1KS3,small_airport,Leo's Place Airport,39.303993,-96.75943,1350.0,KS,Riley,no,2097,249033,1100.0,30.0,TURF,0,0,11,,29,
8388,1KS4,small_airport,Prichard Airstrip,38.9,-97.117,1164.0,KS,Enterprise,no,2098,257227,1900.0,55.0,TURF-G,1,0,17,,35,
8389,1KS5,closed,Keyser Airport,39.1625,-96.0964,950.0,KS,St Marys,no,2099,247895,1500.0,50.0,TURF,0,0,18,,36,
8390,1KS6,small_airport,Silers Plane Valley Airport,38.8667,-97.5364,1204.0,KS,Salina,no,2100,252651,2500.0,60.0,TURF,0,0,N,,S,
8391,1KS7,small_airport,Hitch Feeders Ii Inc. Airport,37.6736,-101.017,3028.0,KS,Satanta,no,2101,251021,3500.0,100.0,DIRT-TURF,0,0,N,,S,
8392,1KS8,small_airport,Buehler Airport,38.5153,-100.995,3038.0,KS,Scott City,no,2102,246537,2500.0,80.0,TURF,0,0,E,,W,
8392,1KS8,small_airport,Buehler Airport,38.5153,-100.995,3038.0,KS,Scott City,no,2102,246538,2500.0,80.0,TURF,0,0,N,,S,
8393,1KS9,small_airport,Belleair Airport,39.0456,-94.949,935.0,KS,Bonner Springs,no,2103,257756,1500.0,40.0,TURF,0,0,13,,31,
513610,1KT8,heliport,Ephraim McDowell Regional Medical Center Heliport,37.64329,-84.77627,970.0,KY,Danville,no,2104,513611,42.0,42.0,CON,0,0,H1,,,
8394,1KY0,heliport,Sof Maintenance Site Heliport,37.6767,-84.233,1000.0,KY,Richmond,no,2106,265467,100.0,100.0,CONC,0,0,H1,,,
8395,1KY1,heliport,Hardin Memorial Hospital Heliport,37.7106,-85.8769,838.0,KY,Elizabethtown,no,2107,265468,31.0,31.0,CONC,0,0,H1,,,
8396,1KY2,heliport,Community Methodist Hospital Heliport,37.8559,-87.5839,460.0,KY,Henderson,no,2108,265469,50.0,50.0,CONC,0,0,H1,,,
8397,1KY3,heliport,Monroe County Medical Center Heliport,36.6981,-85.6764,970.0,KY,Tompkinsville,no,2109,265470,50.0,40.0,ASPH,0,0,H1,,,
8398,1KY4,heliport,Baptist Health Lexington Heliport,38.01763,-84.51195,1076.0,KY,Lexington,no,2110,265471,75.0,75.0,CONC,0,0,H1,,,
8400,1KY6,heliport,Haggin Heliport,37.7559,-84.8497,920.0,KY,Harrodsburg,no,2112,265472,40.0,40.0,ASPH,0,0,H1,,,
8401,1KY7,small_airport,Jordan Hill Farm Airport,37.8325,-84.1808,910.0,KY,Richmond,no,2113,251629,2000.0,125.0,TURF-G,0,0,18,,36,
45428,1KY8,heliport,Norton Audubon Hospital Heliport,38.214443,-85.7225,517.0,KY,Louisville,no,2114,264247,40.0,40.0,CONC,0,0,H1,,,
505757,1KY9,heliport,ARH Tri City Clinic Heliport,36.965836,-83.02213,1407.0,KY,Cumberland,no,2115,505758,40.0,40.0,CON,1,0,H1,,,
8402,1L4,small_airport,Kidwell Airport,35.305546,-114.88236,2605.0,NV,Cal Nev Ari,no,2116,257778,4140.0,65.0,DIRT-F,1,0,15,,33,
8405,1LA1,small_airport,Triche Field,29.9835,-90.4348,10.0,LA,Hahnville,no,2118,246471,4000.0,100.0,TURF,0,0,02,,20,
8406,1LA2,closed,Phi Harahan Heliport,29.9413,-90.1806,,LA,Harahan,no,2119,265473,300.0,200.0,CONC-TURF,0,0,H1,,,
8407,1LA3,small_airport,Goose Island Airport,30.0308,-92.8335,4.0,LA,Hayes,no,2120,254414,4000.0,150.0,TURF,0,0,N,,S,
8409,1LA5,small_airport,Morrow Strip,30.7992,-92.0597,40.0,LA,Morrow,no,2122,255851,1900.0,70.0,TURF,0,0,08,,26,
8410,1LA6,heliport,Christus Highland Heliport,32.42367,-93.71594,160.0,LA,Shreveport,no,2123,265474,50.0,50.0,ASPH,1,0,H1,,,
8411,1LA7,heliport,Savoy Medical Center Heliport,30.6425,-92.4178,100.0,LA,Mamou,no,2124,265475,37.0,30.0,CONC,0,0,H1,,,
8412,1LA8,heliport,S.Fresh Water Bayou Heliport,29.6011,-92.2601,4.0,LA,Intracoastal City,no,2125,265476,40.0,40.0,TURF,0,0,H1,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265477,50.0,50.0,CONC,0,0,H1,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265478,50.0,50.0,CONC,0,0,H2,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265479,24.0,24.0,CONC,0,0,H3,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265480,24.0,24.0,CONC,0,0,H4,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265481,24.0,24.0,CONC,0,0,H5,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265482,24.0,24.0,CONC,0,0,H6,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265483,24.0,24.0,CONC,0,0,H7,,,
8413,1LA9,heliport,Chevron Intracoastal Heliport,29.786541,-92.161095,,LA,Intracoastal City,no,2126,265484,24.0,24.0,CONC,0,0,H8,,,
8414,1LL0,small_airport,Boondox Field,41.3292,-88.6001,625.0,IL,Seneca,no,2127,248090,1370.0,70.0,TURF,0,0,NE,,SW,
8415,1LL1,heliport,Lawrence Co Memorial Hospital Heliport,38.7281,-87.6947,470.0,IL,Lawrenceville,no,2128,265485,100.0,100.0,CONC,0,0,H1,,,
8416,1LL2,small_airport,Spring Brook Airport,41.3006,-88.6356,500.0,IL,Seneca,no,2129,253418,2800.0,70.0,ASPH,1,0,18,,36,
347011,1LL5,small_airport,Justison Airport,39.24277,-89.55083,650.0,IL,Hillsboro,no,2131,347012,2150.0,100.0,Turf,0,0,18,,38,
8418,1LL6,small_airport,Janssen Airport,42.2281,-89.7382,877.0,IL,Shannon,no,2132,254092,1650.0,100.0,TURF,0,0,18,,36,
8419,1LL7,small_airport,Edwin G. Bennett Airport,41.3498,-89.7732,690.0,IL,Sheffield,no,2133,252405,2000.0,100.0,TURF,0,0,E,,W,
8420,1LL8,small_airport,Zoomer Field,40.788654,-87.559364,680.0,IL,Sheldon,no,2134,247316,1961.0,110.0,TURF,0,0,N,,S,
8421,1LL9,heliport,Reyhan Heliport,39.6776,-89.8051,600.0,IL,Loami,no,2135,265486,60.0,40.0,CONC,0,0,H1,,,
8422,1LS0,small_airport,Cal Mire Field,30.2241,-90.882,14.0,LA,Gonzales,no,2136,251975,4000.0,200.0,TURF,0,0,17,,35,
8423,1LS1,heliport,Cosmar Styrene Plant Heliport,30.2225,-91.0728,18.0,LA,Baton Rouge,no,2137,265487,50.0,50.0,CONC,1,0,H1,,,
8424,1LS2,heliport,Innis Community Health Center Heliport,30.876566,-91.678406,45.0,LA,Innis,no,2138,265488,40.0,40.0,CONC,1,0,H1,,,
8425,1LS5,small_airport,Cameron Airstrip,29.8033,-93.3346,5.0,LA,Cameron,no,2139,250216,2380.0,85.0,TURF,1,0,14,,32,
8426,1LS8,small_airport,Summerell Airport,31.684198,-91.501,64.0,LA,Ferriday,no,2140,246389,2500.0,90.0,ASPH-TURF,0,0,13L,,31R,
8426,1LS8,small_airport,Summerell Airport,31.684198,-91.501,64.0,LA,Ferriday,no,2140,246390,2500.0,90.0,TURF,0,0,13R,,31L,
8427,1M3,small_airport,Ardmore Airport,34.9779,-86.8847,920.0,AL,Ardmore,no,2141,249347,2700.0,100.0,TURF-F,0,0,01,,19,
8428,1M7,small_airport,Fulton Airport,36.5259,-88.9156,400.0,KY,Fulton,no,2142,254178,2700.0,60.0,ASPH-F,1,0,09,,27,
8429,1M8,small_airport,Myricks Airport,41.8391,-71.0265,71.0,MA,Berkley,no,2143,246932,2466.0,50.0,TURF-G,0,0,09,,27,
8430,1MA0,heliport,Beth Israel Deaconess Hospital Plymouth Heliport,41.940136,-70.6472,122.0,MA,Plymouth,no,2144,265489,40.0,40.0,CONC,1,0,H1,,,
8431,1MA1,heliport,Deaconess Nashoba Hospital Heliport,42.5765,-71.574,308.0,MA,Ayer,no,2145,265490,40.0,40.0,CONC,0,0,H1,,,
8432,1MA2,heliport,UMASS Memorial Medical Center-Univ Campus Heliport,42.275,-71.76,417.0,MA,Worcester,no,2146,265491,120.0,120.0,CONC,0,0,H1,,,
8433,1MA4,heliport,Wang Heliport,42.6093,-71.3217,104.0,MA,Lowell,no,2147,265492,132.0,132.0,CONC,0,0,H1,,,
8434,1MA5,small_airport,Unknown Field,42.279,-71.5478,432.0,MA,Southborough,no,2148,257377,1500.0,30.0,ASPH,1,0,11,,29,
8435,1MA6,heliport,Micron Heliport,42.0679,-72.7445,245.0,MA,Southwick,no,2149,265493,50.0,50.0,CONC,0,0,H1,,,
8436,1MA7,heliport,Long Hill Orchard Heliport,42.4734,-70.9789,120.0,MA,West Newbury,no,2150,265494,80.0,60.0,ASPH,0,0,H1,,,
8437,1MA8,heliport,Horizon Hill Heliport,42.419655,-71.309326,336.0,MA,Lincoln,no,2151,265495,30.0,30.0,ASPH,0,0,H1,,,1050.0
8438,1MA9,heliport,Morton Hospital Heliport,41.9059,-71.0942,50.0,MA,Taunton,no,2152,265496,40.0,40.0,ASPH,0,0,H1,,,
8439,1MD0,heliport,Clng Cove Point Heliport,38.3918,-76.408,133.0,MD,Lusby,no,2153,265497,50.0,50.0,CONC,0,0,H1,,,
8440,1MD1,small_airport,Big Oak Farm Airport,38.569126,-76.28619,4.0,MD,Cambridge,no,2154,247976,1600.0,75.0,TURF,0,0,E,200.0,W,300.0
8441,1MD3,closed,Krastel Farms Airport,39.309,-75.9877,75.0,MD,Kennedyville,no,2155,246535,1800.0,75.0,TURF,0,0,03,,21,
8442,1MD4,heliport,Prince George's Hospital Center Heliport,38.9303,-76.9208,297.0,MD,Cheverly,no,2156,265498,67.0,67.0,CONC,1,0,H1,,,
8442,1MD4,heliport,Prince George's Hospital Center Heliport,38.9303,-76.9208,297.0,MD,Cheverly,no,2156,265499,40.0,40.0,CONC,1,0,H2,,,
8443,1MD5,heliport,Federal Support Center Heliport,39.1921,-77.1066,510.0,MD,Laytonsville,no,2157,265500,100.0,66.0,ASPH,0,0,H1,,,
8444,1MD6,heliport,Metroplex Heliport,38.9462,-76.8683,99.0,MD,New Carrollton,no,2158,265501,4000.0,500.0,TURF,0,0,H1,,,
8445,1MD7,heliport,Shady Grove Adventist Hospital Heliport,39.098366,-77.19761,475.0,MD,Rockville,no,2159,265502,35.0,35.0,CONC,1,0,H1,,,
8446,1MD8,small_airport,Mayberry Run Airport,39.6829,-77.0972,580.0,MD,Westminster/Silver Run,no,2160,248924,1900.0,100.0,TURF,0,0,06,,24,
8447,1MD9,closed,Washington County Hospital Heliport,39.637653,-77.715805,589.0,MD,Hagerstown,no,2161,265503,51.0,51.0,CONC,0,0,H1,,,
8448,1ME,seaplane_base,Chesuncook Lake House Seaplane Base,46.0609,-69.4094,942.0,ME,Chesuncook,no,2162,250382,15000.0,1100.0,WATER-E,0,0,ALL,,WAY,
8449,1ME1,heliport,Victor Heliport,44.4106,-69.0092,180.0,ME,Belfast,no,2163,265504,70.0,70.0,ASPH,0,0,H1,,,
8450,1MI0,seaplane_base,Ashman Island Seaplane Base,46.0686,-83.7242,580.0,MI,Drummond Island,no,2165,253899,7500.0,500.0,WATER,0,0,10,,28,
8451,1MI1,closed,Nikkila Farms Airport,46.700672,-88.99716,1100.0,MI,Mass,no,2166,251026,2000.0,70.0,TURF,0,0,N,,S,
8452,1MI2,heliport,Guardian Industries Heliport,42.6998,-83.2474,1021.0,MI,Auburn Hills,no,2167,265505,64.0,64.0,CONC,0,0,H1,,,
8453,1MI3,small_airport,Black River Ranch Airport,45.1958,-84.3217,880.0,MI,Onaway,no,2168,252954,3900.0,60.0,ASPH,0,0,E,,W,
8455,1MI5,small_airport,McKenzie's Landing Airport,42.6031,-83.8597,955.0,MI,Howell,no,2170,254676,2450.0,60.0,TURF-G,0,0,09,,27,1850.0
8457,1MI7,closed,Thompson Airport,44.3167,-84.0667,857.0,MI,Selkirk,no,2172,253606,1800.0,100.0,TURF,0,0,15,,33,
8458,1MI8,small_airport,Vlachos Acres Airport,44.8467,-83.6369,785.0,MI,Hubbard,no,2173,252559,1800.0,200.0,TURF,0,0,14,,32,
8458,1MI8,small_airport,Vlachos Acres Airport,44.8467,-83.6369,785.0,MI,Hubbard,no,2173,252560,2600.0,200.0,TURF,0,0,18,,36,
8459,1MI9,closed,Southfork Airport,46.47551,-87.35241,660.0,MI,Marquette,no,2174,257743,1150.0,120.0,TURF,0,0,17,,35,
8460,1MN0,small_airport,Wetherbee Farm Airport,46.0436,-96.5462,980.0,MN,Tenney,no,2175,246462,2600.0,80.0,TURF,0,0,17,,35,
8462,1MN2,small_airport,Hay Acres Airport,45.9382,-94.7607,1430.0,MN,Akiey,no,2177,250252,1650.0,75.0,TURF-G,0,0,16,,34,
8463,1MN3,heliport,Northern Itasca Health Care Center Heliport,47.7472,-93.6463,1320.0,MN,Bigfork,no,2178,265506,50.0,50.0,CONC,0,0,H1,,,
8465,1MN5,small_airport,Molnau Airpark,44.843876,-93.73608,1000.0,MN,Waconia,no,2180,257118,2700.0,100.0,TURF,0,0,E,,W,
8466,1MN6,heliport,Cook Hospital Heliport,47.853,-92.6791,1315.0,MN,Cook,no,2181,265507,50.0,50.0,CONC,0,0,H1,,,
8467,1MN7,heliport,Cuyuna Regional Medical Center Heliport,46.4822,-93.9436,1255.0,MN,Crosby,no,2182,265508,55.0,55.0,CONC,0,0,H1,,,
8468,1MN8,small_airport,Sky Harbor Residential Airpark,44.52567,-93.32744,1111.0,MN,Webster,no,2183,257242,2800.0,150.0,TURF,1,0,12,,30,
8469,1MN9,heliport,Sanford Jackson Medical Center Heliport,43.624832,-95.00399,1450.0,MN,Jackson,no,2184,265509,45.0,45.0,CONC,0,0,H1,,,
8470,1MO1,heliport,St Joseph Hospital Heliport,38.5681,-90.434,530.0,MO,Kirkwood,no,2185,269680,110.0,70.0,CONC,0,0,H1,,,
8471,1MO2,closed,Hart Airport,38.549053,-94.477486,825.0,MO,Drexel,no,2186,356061,2100.0,80.0,Turf,0,0,09,,27,
8472,1MO3,small_airport,Lake Viking Airport,39.9334,-94.0738,940.0,MO,Gallatin,no,2187,244169,3200.0,50.0,ASP,0,0,NW,,SE,
8473,1MO4,small_airport,Landmark Manufacturing Corporation Airport,39.8917,-93.8641,800.0,MO,Gallatin,no,2188,251250,2400.0,100.0,TURF-GRVL,1,0,N,,S,
8474,1MO6,small_airport,Double S Ranch Airport,36.83014,-90.72068,737.0,MO,Grandin,no,2189,250704,5000.0,150.0,TURF,0,0,17,,35,
8475,1MO7,closed,Hines Airport,40.36418,-91.97386,750.0,MO,Gorin,no,2190,251427,1600.0,100.0,TURF,0,0,N,,S,
8476,1MO8,small_airport,Sherlock Field,38.2528,-92.803,800.0,MO,Gravois Mills,no,2191,246636,2640.0,120.0,TURF,0,0,N,,S,
8478,1MS0,small_airport,Tapley Airport,33.5998,-90.7812,129.0,MS,Shaw,no,2193,257807,1400.0,50.0,TURF,0,0,04,,22,
8478,1MS0,small_airport,Tapley Airport,33.5998,-90.7812,129.0,MS,Shaw,no,2193,257808,2300.0,50.0,TURF,0,0,09,,27,
8479,1MS1,heliport,Neshoba General Hospital Heliport,32.75606,-89.10634,388.0,MS,Philadelphia,no,2194,265510,40.0,40.0,CONC,0,0,H1,,,
8480,1MS2,small_airport,Peterson Airport,32.942818,-89.93001,240.0,MS,Goodman,no,2195,256847,2400.0,50.0,TURF,0,0,04,,22,
8481,1MS3,heliport,Baptist Medical Center Attala Heliport,33.0668,-89.5985,455.0,MS,Kosciusko,no,2196,265511,35.0,35.0,CONC,0,0,H1,,,
8482,1MS4,heliport,Methodist Medical Center Heliport,32.2879,-90.2562,366.0,MS,Jackson,no,2197,265512,120.0,80.0,CONC,0,0,H1,,,
8484,1MS6,small_airport,Eagles Ridge Airport,34.796425,-89.913216,262.0,MS,Hernando,no,2199,253017,3000.0,120.0,TURF,0,0,10,,28,
8485,1MS7,heliport,Smith County General Hospital Heliport,31.9996,-89.5195,535.0,MS,Raleigh,no,2200,265513,23.0,23.0,CONC,0,0,H1,,,
8486,1MS8,small_airport,Columbus Air Force Base Auxiliary Field (Gunshy),32.9401,-88.5792,260.0,MS,Shuqualak,no,2201,245402,6300.0,150.0,ASPH-CONC,0,0,13,,31,
8487,1MS9,closed,Piker-Too Airport,31.0118,-90.9682,300.0,MS,Centreville,no,2202,248864,2750.0,100.0,TURF,0,0,04,,22,
8488,1MT0,small_airport,Nine Quarter Circle Ranch Airport,45.0674,-111.297,6974.0,MT,Gallatin Gateway,no,2203,249823,4000.0,100.0,TURF,0,0,10,,28,
8489,1MT1,heliport,Krinitt Helicopters Heliport,45.7742,-111.203,4474.0,MT,Belgrade,no,2204,269681,40.0,40.0,CONC,0,0,H1,,,
8490,1MT2,small_airport,Skyrider Ultralightport,45.9431,-108.549,3540.0,MT,Billings,no,2205,256622,1000.0,60.0,TURF-DIRT,0,0,09,,27,
8491,1MT3,small_airport,Wood Strip,46.557667,-112.4144,5100.0,MT,Elliston,no,2206,252740,1800.0,100.0,TURF,0,0,09,,27,
8492,1MT4,closed,Lonewood Meadows Airport,46.6885,-111.871,3780.0,MT,Helena,no,2207,248176,1320.0,20.0,TURF,0,0,09,,27,
8493,1MT5,heliport,Holy Rosary Heliport,46.3946,-105.829,2372.0,MT,Miles City,no,2208,269682,40.0,40.0,CONC,1,0,H1,,,
